,sum,mean
火火兔学古诗,0.0,
快乐熊猫一家人,0.0,
中医药里的故事,0.0,
一千零一夜,169646.0,1600.433962264151
小猫威力,0.0,
神奇小队,0.0,
神奇画笔看世界,0.0,
小豆的微观世界,0.0,
儿童小百科,0.0,
探索生活小百科,0.0,
木头岛的故事,0.0,
成语诗词荟萃,0.0,
反诈小分队,0.0,
小羊哈哈童年日记,0.0,
桃花夫人,25102.0,236.81132075471697
快乐小郑星,0.0,
雪王,45758.0,431.6792452830189
胶囊计划 英雄,0.0,
全职高手荣耀小剧场,0.0,
恰同学少年,184503.0,1740.5943396226414
暂停！智序重组,0.0,
元气奇事,0.0,
紫川,168317.0,1587.8962264150944
开局地摊卖大力,93766.0,884.5849056603773
在下“英台”,0.0,
双生武魂,0.0,
非人哉,222526.0,2099.301886792453
是假千金也要手握团宠剧本,0.0,
龙族Ⅱ,0.0,
通灵妃,82041.0,773.9716981132076
妖神记,244538.0,2306.9622641509436
斗罗大陆剧场版 剑道尘心,0.0,
我为刀宗,0.0,
赵琳的探险日记,73268.0,691.2075471698113
云深不知梦,0.0,0.0
葫芦兄妹,0.0,
夜光溯明,0.0,
凌天独尊,0.0,0.0
《崩坏：星穹铁道》动画短片：「听！狂欢在那神佑的山巅」,0.0,
【无职转生同人动画】血契之约,0.0,
鬼吹灯,439607.0,4147.235849056604
后羿,107368.0,1012.9056603773585
武碎星河,0.0,
玲珑骰,0.0,
神墓,228042.0,2151.3396226415093
缥缈剑仙传,0.0,
万剑王座,0.0,
斗破苍穹 年番,0.0,
信息素说我们不可能,110714.0,1044.4716981132076
猫和老鼠：星盘奇缘,0.0,
向着星辰的长征,0.0,
