所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
白蛇：浮生,这样的许仙，才值得白素贞水漫金山！,971,1,4,天网影院,"影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1kzR3Y7EWV,https://www.bilibili.com/video/BV1kzR3Y7EWV
白蛇：浮生,不管小白小青是不是妖，姐夫早已把他们当成了一家人,2332,1,30,阿宸说剧,"影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1w3XNYxEKd,https://www.bilibili.com/video/BV1w3XNYxEKd
白蛇：浮生,如果不是法海他们定当人妖幸福一生!,5167,2,34,一割影视剪辑,"电影,影视,动画电影,许仙,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1sgRgYEE6X,https://www.bilibili.com/video/BV1sgRgYEE6X
白蛇：浮生,白蛇从未害过人！法海你瞎了么？小白跟许仙的爱情真虐啊！,3323,1,24,天网影院,"影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV16kR3YLE9v,https://www.bilibili.com/video/BV16kR3YLE9v
白蛇：浮生,宝青坊主究竟什么来历，实力竟然这么强，她的仇人又是谁啊！,426,1,3,鳄鱼剧场,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1LvRgYwE7t,https://www.bilibili.com/video/BV1LvRgYwE7t
白蛇：浮生,其实我看小青也是风韵犹存啊!,1004,1,11,搁浅影视,"电影,影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV15jR3YPEZh,https://www.bilibili.com/video/BV15jR3YPEZh
白蛇：浮生,不管小白小青是不是妖，姐夫早已把他们当成了一家人,2487,1,18,阿宸说剧,"影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1xTdUYZEjn,https://www.bilibili.com/video/BV1xTdUYZEjn
白蛇：浮生,不管小白小青是不是妖，姐夫早已把他们当成了一家人,2487,1,18,阿宸说剧,"影视,动画电影,许仙,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1xTdUYZEjn,https://www.bilibili.com/video/BV1xTdUYZEjn
白蛇：浮生,不管小白小青是不是妖，姐夫早已把他们当成了一家人,862,1,6,阿呆电影,"影视,动画电影,许仙,电视剧,电影推荐,法海,白蛇传,电影剪辑,白蛇：浮生,B站好片有奖种草",BV1DfR8YjEk4,https://www.bilibili.com/video/BV1DfR8YjEk4
白蛇：浮生,"<em class=""keyword"">法海</em>你满口的仁义道德，可是为什么偏偏就不能放过她们呢！",51209,1,1381,小渔剪辑Y,"许仙,小白,法海,白素贞,影视剪辑,小青,白蛇：浮生,B站好片有奖种草",BV1pyAyeaERC,https://www.bilibili.com/video/BV1pyAyeaERC
白蛇：浮生,"<em class=""keyword"">法海</em>你满口的仁义道德，可是为什么偏偏就不能放过她们呢！",51209,1,1381,小渔剪辑Y,"许仙,小白,法海,白素贞,影视剪辑,小青,白蛇：浮生,B站好片有奖种草",BV1pyAyeaERC,https://www.bilibili.com/video/BV1pyAyeaERC
白蛇：浮生,"<em class=""keyword"">法海</em>你满口的仁义道德，可是为什么偏偏就不能放过她们呢！",51209,1,1381,小渔剪辑Y,"许仙,小白,法海,白素贞,影视剪辑,小青,白蛇：浮生,B站好片有奖种草",BV1pyAyeaERC,https://www.bilibili.com/video/BV1pyAyeaERC
白蛇：浮生,"<em class=""keyword"">法海</em>你满口的仁义道德，可是为什么偏偏就不能放过她们呢！",51209,1,1381,小渔剪辑Y,"许仙,小白,法海,白素贞,影视剪辑,小青,白蛇：浮生,B站好片有奖种草",BV1pyAyeaERC,https://www.bilibili.com/video/BV1pyAyeaERC
白蛇：浮生,"直到文曲星下凡，<em class=""keyword"">法海</em>才知道自己错了，五百年的等待终是一场悲剧",752,0,1,琉星追剧,"悲剧,电影,文曲星,许仙,法海,白素贞,影视剪辑,白蛇：浮生,影视神仙剪刀手,B站好片有奖种草",BV1gNtJzfEHZ,https://www.bilibili.com/video/BV1gNtJzfEHZ
